"subject","activity","domain","type","stat","component","meanvalue"
1,"walking","frequency","body","mean","mag",-0.353725488003839
1,"walking","frequency","body","mean","x",-0.319085247047604
1,"walking","frequency","body","mean","y",-0.200373058812797
1,"walking","frequency","body","mean","z",-0.367752477317989
1,"walking","frequency","body","std","mag",-0.422464491427764
1,"walking","frequency","body","std","x",-0.373721824524336
1,"walking","frequency","body","std","y",-0.166679258062774
1,"walking","frequency","body","std","z",-0.404325500736696
1,"walking","time","body","mean","mag",-0.286191844958477
1,"walking","time","body","mean","x",0.0560068311036426
1,"walking","time","body","mean","y",-0.0300976987844877
1,"walking","time","body","mean","z",-0.0197112231255381
1,"walking","time","body","std","mag",-0.35844498014955
1,"walking","time","body","std","x",-0.357017214930511
1,"walking","time","body","std","y",-0.246816239954381
1,"walking","time","body","std","z",-0.384735944498158
1,"walking","time","gravity","mean","mag",-0.167937853979757
1,"walking","time","gravity","mean","x",0.93499157825784
1,"walking","time","gravity","mean","y",-0.196713497359117
1,"walking","time","gravity","mean","z",-0.0538251249015482
1,"walking","time","gravity","std","mag",-0.33775398556687
1,"walking","time","gravity","std","x",-0.977612074494773
1,"walking","time","gravity","std","y",-0.966903875917538
1,"walking","time","gravity","std","z",-0.954597565156794
2,"walking_upstairs","frequency","body","mean","mag",-0.431116488060321
2,"walking_upstairs","frequency","body","mean","x",-0.359183899807321
2,"walking_upstairs","frequency","body","mean","y",-0.319623607726652
2,"walking_upstairs","frequency","body","mean","z",-0.418883281441926
2,"walking_upstairs","frequency","body","std","mag",-0.470112521199521
2,"walking_upstairs","frequency","body","std","x",-0.367711576012111
2,"walking_upstairs","frequency","body","std","y",-0.224208596661481
2,"walking_upstairs","frequency","body","std","z",-0.36674465852424
2,"walking_upstairs","time","body","mean","mag",-0.319367761004984
2,"walking_upstairs","time","body","mean","x",0.0584327506076765
2,"walking_upstairs","time","body","mean","y",-0.0360765488942148
2,"walking_upstairs","time","body","mean","z",-0.029808672107717
2,"walking_upstairs","time","body","std","mag",-0.40981359171168
2,"walking_upstairs","time","body","std","x",-0.404898269251389
2,"walking_upstairs","time","body","std","y",-0.341707493202022
2,"walking_upstairs","time","body","std","z",-0.400159830465473
2,"walking_upstairs","time","gravity","mean","mag",-0.100204123946392
2,"walking_upstairs","time","gravity","mean","x",0.875003375958549
2,"walking_upstairs","time","gravity","mean","y",-0.281377193548575
2,"walking_upstairs","time","gravity","mean","z",-0.14079566587547
2,"walking_upstairs","time","gravity","std","mag",-0.249875157023391
2,"walking_upstairs","time","gravity","std","x",-0.948191332253886
2,"walking_upstairs","time","gravity","std","y",-0.925549271962435
2,"walking_upstairs","time","gravity","std","z",-0.901905618180052
3,"walking_downstairs","frequency","body","mean","mag",-0.144980309335107
3,"walking_downstairs","frequency","body","mean","x",-0.0849866610233141
3,"walking_downstairs","frequency","body","mean","y",-0.125763544367046
3,"walking_downstairs","frequency","body","mean","z",-0.237514885927596
3,"walking_downstairs","frequency","body","std","mag",-0.241342639444936
3,"walking_downstairs","frequency","body","std","x",-0.111793332961601
3,"walking_downstairs","frequency","body","std","y",-0.15383460491604
3,"walking_downstairs","frequency","body","std","z",-0.356612520235827
3,"walking_downstairs","time","body","mean","mag",-0.13930732810482
3,"walking_downstairs","time","body","mean","x",0.0551190371677827
3,"walking_downstairs","time","body","mean","y",-0.0299555048963804
3,"walking_downstairs","time","body","mean","z",-0.0186270463213243
3,"walking_downstairs","time","body","std","mag",-0.146772221037326
3,"walking_downstairs","time","body","std","x",-0.162405890751063
3,"walking_downstairs","time","body","std","y",-0.204925242746535
3,"walking_downstairs","time","body","std","z",-0.294684120009826
3,"walking_downstairs","time","gravity","mean","mag",0.101249699851558
3,"walking_downstairs","time","gravity","mean","x",0.926457404928876
3,"walking_downstairs","time","gravity","mean","y",-0.168507222023357
3,"walking_downstairs","time","gravity","mean","z",-0.0479709004743904
3,"walking_downstairs","time","gravity","std","mag",0.116488914352198
3,"walking_downstairs","time","gravity","std","x",-0.949748838733997
3,"walking_downstairs","time","gravity","std","y",-0.934266078534851
3,"walking_downstairs","time","gravity","std","z",-0.912460554516358
4,"sitting","frequency","body","mean","mag",-0.970181632625352
4,"sitting","frequency","body","mean","x",-0.981849332466704
4,"sitting","frequency","body","mean","y",-0.96478791633202
4,"sitting","frequency","body","mean","z",-0.965873908162071
4,"sitting","frequency","body","std","mag",-0.964072003243388
4,"sitting","frequency","body","std","x",-0.984088498141062
4,"sitting","frequency","body","std","y",-0.957439334853198
4,"sitting","frequency","body","std","z",-0.959679248169799
4,"sitting","time","body","mean","mag",-0.967923143794316
4,"sitting","time","body","mean","x",0.0537137602459994
4,"sitting","time","body","mean","y",-0.0301358145517254
4,"sitting","time","body","mean","z",-0.0202455114177559
4,"sitting","time","body","std","mag",-0.963509477942065
4,"sitting","time","body","std","x",-0.983792697241137
4,"sitting","time","body","std","y",-0.965493547367098
4,"sitting","time","body","std","z",-0.965772769595526
4,"sitting","time","gravity","mean","mag",-0.95464392144063
4,"sitting","time","gravity","mean","x",0.879731193472144
4,"sitting","time","gravity","mean","y",0.108713540331707
4,"sitting","time","gravity","mean","z",0.153774088505577
4,"sitting","time","gravity","std","mag",-0.939324188353517
4,"sitting","time","gravity","std","x",-0.979682230393922
4,"sitting","time","gravity","std","y",-0.957672740350591
4,"sitting","time","gravity","std","z",-0.947357438593134
5,"standing","frequency","body","mean","mag",-0.962438250283316
5,"standing","frequency","body","mean","x",-0.968428419099335
5,"standing","frequency","body","mean","y",-0.957660850951382
5,"standing","frequency","body","mean","z",-0.963967492703743
5,"standing","frequency","body","std","mag",-0.956161836949292
5,"standing","frequency","body","std","x",-0.971552473371808
5,"standing","frequency","body","std","y",-0.952487732808674
5,"standing","frequency","body","std","z",-0.959212691014341
5,"standing","time","body","mean","mag",-0.963036825468258
5,"standing","time","body","mean","x",0.0569412474673977
5,"standing","time","body","mean","y",-0.0293439008299916
5,"standing","time","body","mean","z",-0.0207805697414494
5,"standing","time","body","std","mag",-0.955261879908447
5,"standing","time","body","std","x",-0.96922239327256
5,"standing","time","body","std","y",-0.959602011040136
5,"standing","time","body","std","z",-0.963379901163038
5,"standing","time","gravity","mean","mag",-0.954179661789087
5,"standing","time","gravity","mean","x",0.941479635262329
5,"standing","time","gravity","mean","y",-0.18424651390288
5,"standing","time","gravity","mean","z",-0.0140519613122015
5,"standing","time","gravity","std","mag",-0.946534779481637
5,"standing","time","gravity","std","x",-0.988015176652676
5,"standing","time","gravity","std","y",-0.969351769994753
5,"standing","time","gravity","std","z",-0.953082525826338
6,"laying","frequency","body","mean","mag",-0.963698881333848
6,"laying","frequency","body","mean","x",-0.969974920768056
6,"laying","frequency","body","mean","y",-0.963881368114369
6,"laying","frequency","body","mean","z",-0.966938991112826
6,"laying","frequency","body","std","mag",-0.956716000932549
6,"laying","frequency","body","std","x",-0.970412786232219
6,"laying","frequency","body","std","y",-0.958959196290981
6,"laying","frequency","body","std","z",-0.964446932785648
6,"laying","time","body","mean","mag",-0.960370502394162
6,"laying","time","body","mean","x",0.0579765983562209
6,"laying","time","body","mean","y",-0.034688541824179
6,"laying","time","body","mean","z",-0.0125650198576642
6,"laying","time","body","std","mag",-0.955937917428369
6,"laying","time","body","std","x",-0.9713328650607
6,"laying","time","body","std","y",-0.964580200906121
6,"laying","time","body","std","z",-0.96895941251394
6,"laying","time","gravity","mean","mag",-0.941110656500514
6,"laying","time","gravity","mean","x",-0.375021333827161
6,"laying","time","gravity","mean","y",0.622270362899691
6,"laying","time","gravity","mean","z",0.55561247407572
6,"laying","time","gravity","std","mag",-0.932160020511831
6,"laying","time","gravity","std","x",-0.943319727953189
6,"laying","time","gravity","std","y",-0.963191706084414
6,"laying","time","gravity","std","z",-0.951868724368827
