"subject" "activity" "meanvalue"
1 "laying" -0.607454974209617
1 "sitting" -0.63690991158559
1 "standing" -0.663675501096339
1 "walking" -0.186288463271224
1 "walking_downstairs" -0.156403476294545
1 "walking_upstairs" -0.288671577219568
2 "laying" -0.655139571864067
2 "sitting" -0.649314495258566
2 "standing" -0.654246676313422
2 "walking" -0.290508778768806
2 "walking_downstairs" -0.124641646080288
2 "walking_upstairs" -0.247420114624592
3 "laying" -0.645617194054856
3 "sitting" -0.623191312783161
3 "standing" -0.630267317478225
3 "walking" -0.288639637494644
3 "walking_downstairs" -0.229789946771614
3 "walking_upstairs" -0.323617916840046
4 "laying" -0.643182539033286
4 "sitting" -0.631878904214027
4 "standing" -0.621984523585023
4 "walking" -0.346430767933413
4 "walking_downstairs" -0.270914330381417
4 "walking_upstairs" -0.303563957377702
5 "laying" -0.652536366724091
5 "sitting" -0.631690190687015
5 "standing" -0.616458383670234
5 "walking" -0.256143738537988
5 "walking_downstairs" -0.157068659160835
5 "walking_upstairs" -0.223286804002584
6 "laying" -0.633199920952705
6 "sitting" -0.631742018946602
6 "standing" -0.63972908495466
6 "walking" -0.216654009773114
6 "walking_downstairs" -0.0408892506133845
6 "walking_upstairs" -0.18356721672098
7 "laying" -0.641168873949471
7 "sitting" -0.629087161013229
7 "standing" -0.641145422347178
7 "walking" -0.190182620187597
7 "walking_downstairs" -0.192388763140731
7 "walking_upstairs" -0.33029959135038
8 "laying" -0.638433005726343
8 "sitting" -0.639252568087051
8 "standing" -0.649438415260532
8 "walking" -0.13469675757249
8 "walking_downstairs" -0.0195201409833772
8 "walking_upstairs" -0.120245906307358
9 "laying" -0.648004511182633
9 "sitting" -0.622375891487958
9 "standing" -0.634057461092042
9 "walking" -0.245491725532203
9 "walking_downstairs" -0.1808407979648
9 "walking_upstairs" -0.30868765650182
10 "laying" -0.675838480312489
10 "sitting" -0.649941859917211
10 "standing" -0.636655291458939
10 "walking" -0.190084986769805
10 "walking_downstairs" -0.116198735547231
10 "walking_upstairs" -0.193157668064243
11 "laying" -0.650994289131217
11 "sitting" -0.641394196505877
11 "standing" -0.658292677657722
11 "walking" -0.32712432963169
11 "walking_downstairs" -0.213429939708383
11 "walking_upstairs" -0.337421704626593
12 "laying" -0.643721370062331
12 "sitting" -0.640260800843484
12 "standing" -0.63817571092541
12 "walking" -0.240640711055388
12 "walking_downstairs" -0.188361049444935
12 "walking_upstairs" -0.320474145736058
13 "laying" -0.643803661576189
13 "sitting" -0.647178209131313
13 "standing" -0.656727589074733
13 "walking" -0.196508748815292
13 "walking_downstairs" -0.179148526390731
13 "walking_upstairs" -0.293510647272136
14 "laying" -0.624102188307598
14 "sitting" -0.644668205646674
14 "standing" -0.651318469403879
14 "walking" -0.254028489248495
14 "walking_downstairs" -0.0187302519617037
14 "walking_upstairs" -0.10581831464463
15 "laying" -0.648225850210778
15 "sitting" -0.645642856193073
15 "standing" -0.647848544576727
15 "walking" -0.272200293478145
15 "walking_downstairs" -0.133944499333661
15 "walking_upstairs" -0.276226519499314
16 "laying" -0.657177964787379
16 "sitting" -0.648239442402165
16 "standing" -0.657732204889202
16 "walking" -0.329895764475388
16 "walking_downstairs" -0.216690880570124
16 "walking_upstairs" -0.338352156354502
17 "laying" -0.642755762277891
17 "sitting" -0.6591951458664
17 "standing" -0.667017787769594
17 "walking" -0.269096113411356
17 "walking_downstairs" -0.234455527956495
17 "walking_upstairs" -0.279816778799283
18 "laying" -0.655654343052478
18 "sitting" -0.652662816050299
18 "standing" -0.657084761118178
18 "walking" -0.346763804296369
18 "walking_downstairs" -0.347572375580345
18 "walking_upstairs" -0.380010195732406
19 "laying" -0.656289753492622
19 "sitting" -0.637991186278554
19 "standing" -0.648650669175944
19 "walking" -0.0734140816646869
19 "walking_downstairs" 0.102734714148921
19 "walking_upstairs" -0.172258426989255
20 "laying" -0.651897585740811
20 "sitting" -0.638955393425385
20 "standing" -0.624426558710524
20 "walking" -0.09908795313904
20 "walking_downstairs" -0.0565931237944949
20 "walking_upstairs" -0.188036977792177
21 "laying" -0.64136683212972
21 "sitting" -0.654396434898029
21 "standing" -0.656510604258915
21 "walking" -0.217978260825113
21 "walking_downstairs" -0.151206627755051
21 "walking_upstairs" -0.26328108520176
22 "laying" -0.63420937072542
22 "sitting" -0.632651073826183
22 "standing" -0.643572880972609
22 "walking" -0.144934979054694
22 "walking_downstairs" -0.148796141853259
22 "walking_upstairs" -0.17497031531689
23 "laying" -0.651306053024708
23 "sitting" -0.640013973710936
23 "standing" -0.651138986854501
23 "walking" -0.126903577690032
23 "walking_downstairs" -0.0506939912769946
23 "walking_upstairs" -0.227119615488321
24 "laying" -0.649988312812975
24 "sitting" -0.647195806406478
24 "standing" -0.648350504783363
24 "walking" -0.311847584772486
24 "walking_downstairs" -0.238146292203223
24 "walking_upstairs" -0.328535385091804
25 "laying" -0.588264689793841
25 "sitting" -0.647583237317702
25 "standing" -0.650891179885392
25 "walking" -0.364279894436258
25 "walking_downstairs" -0.313263836444889
25 "walking_upstairs" -0.384677901674397
26 "laying" -0.657390378685193
26 "sitting" -0.643123956408995
26 "standing" -0.652667114422475
26 "walking" -0.276184632478874
26 "walking_downstairs" -0.179214427253754
26 "walking_upstairs" -0.306419534515106
27 "laying" -0.65837910494145
27 "sitting" -0.647783207924771
27 "standing" -0.656362306466278
27 "walking" -0.275296376508513
27 "walking_downstairs" -0.189460921833348
27 "walking_upstairs" -0.326105857427349
28 "laying" -0.671007304372093
28 "sitting" -0.644045656999583
28 "standing" -0.63060395385937
28 "walking" -0.273010312289803
28 "walking_downstairs" -0.147765352314275
28 "walking_upstairs" -0.294927258269563
29 "laying" -0.656771188868451
29 "sitting" -0.648120334955931
29 "standing" -0.65749695629275
29 "walking" -0.231328322708789
29 "walking_downstairs" -0.180371235237307
29 "walking_upstairs" -0.221007382555833
30 "laying" -0.646019210744967
30 "sitting" -0.642688405782325
30 "standing" -0.631718965923267
30 "walking" -0.232428955210894
30 "walking_downstairs" -0.209042647530719
30 "walking_upstairs" -0.300248218133504
